Manufacturer,Manufacturer Part Number,Source,Category,Competitor,Competitor Part Number,Manufacturer,Manufacturer Part Number,Availability,Factory Lead Time,Quantity1,Price1,Quantity2,Price2,Quantity3,Price3,Quantity4,Price4,Quantity5,Price5,Quantity6,Price6,Quantity7,Price7,Quantity8,Price8,Quantity9,Price9,Quantity10,Price10,Currency,URL,Status,Cache Time,Life Cycle,Description
Vishay Semiconductors,SIRA06DP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIRA06DP-T1-GE3,Vishay Semiconductors,SIRA06DP-T1-GE3,2785 In Stock,105 Days,1,$1.20,10,$1.08,100,$0.835,500,$0.689,1000,$0.555,3000,$0.508,6000,$0.507,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIRA06DP-T1-GE3?qs=6Vc4Yopya8LBrLvAaC0U6A%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 30V Vds 20V Vgs PowerPAK SO-8
Vishay Semiconductors,SIRA04DP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIRA04DP-T1-GE3,Vishay Semiconductors,SIRA04DP-T1-GE3,11120 In Stock,105 Days,1,$1.34,10,$1.20,100,$0.932,500,$0.77,1000,$0.608,3000,$0.607,6000,$0.579,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIRA04DP-T1-GE3?qs=6Vc4Yopya8IFWezS%2FYu8oA%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 30V Vds 20V Vgs PowerPAK SO-8
Vishay Semiconductors,SIRA02DP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIRA02DP-T1-GE3,Vishay Semiconductors,SIRA02DP-T1-GE3,3010 In Stock,105 Days,1,$1.79,10,$1.61,100,$1.30,500,$1.07,1000,$0.881,3000,$0.821,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIRA02DP-T1-GE3?qs=ikmy83Xc6sbSvGJNNJ7mAA%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 30V Vds 20V Vgs PowerPAK SO-8
Vishay Semiconductors,SIRA00DP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIRA00DP-T1-GE3,Vishay Semiconductors,SIRA00DP-T1-GE3,2560 In Stock,105 Days,1,$2.21,10,$1.99,100,$1.61,500,$1.32,1000,$1.10,3000,$1.01,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIRA00DP-T1-GE3?qs=6Vc4Yopya8JVGImZhzoIgA%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 30V 1mOhm@10V 60A N-Ch G-IV
Vishay Semiconductors,SIR882ADP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIR882ADP-T1-GE3,Vishay Semiconductors,SIR882ADP-T1-GE3,20051 In Stock,127 Days,1,$2.55,10,$2.29,100,$1.85,500,$1.51,1000,$1.26,3000,$1.22,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIR882ADP-T1-GE3?qs=b%252BLbInQEgdluKWmpV2ZbPA%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 100V Vds 20V Vgs PowerPAK SO-8
Vishay Semiconductors,SIR880DP-T1-GE3,mouser.com,MOSFET,Mouser,781-SIR880DP-T1-GE3,Vishay Semiconductors,SIR880DP-T1-GE3,48 In Stock,904 Days,1,$2.78,10,$2.48,100,$2.00,500,$1.64,1000,$1.36,3000,$1.26,6000,$1.22,9000,$1.19,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIR880DP-T1-GE3?qs=rQx%2FCpjfCBJ5iKdmJx2ePQ%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 80V Vds 20V Vgs PowerPAK SO-8
Vishay Semiconductors,SIR880ADP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIR880ADP-T1-GE3,Vishay Semiconductors,SIR880ADP-T1-GE3,3 In Stock,630 Days,1,$1.93,10,$1.74,100,$1.37,500,$1.12,1000,$1.01,3000,$1.01,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIR880ADP-T1-GE3?qs=8YL4b%2FT9Kqr4MR9jl5Y38A%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 80V Vds 20V Vgs PowerPAK SO-8
Vishay / Siliconix,SIR878DP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIR878DP-T1-GE3,Vishay / Siliconix,SIR878DP-T1-GE3,"Non-Stocked, Call for Quote",0 Days,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Siliconix/SIR878DP-T1-GE3?qs=WX95TUc1y57pLDWZj8RiOQ%3D%3D,No price,06/07/2023 09:57:48 AM,Obsolete,MOSFET RECOMMENDED ALT 78-SIR878BDP-T1-RE3
Vishay Semiconductors,SIR878ADP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIR878ADP-T1-GE3,Vishay Semiconductors,SIR878ADP-T1-GE3,"Non-Stocked, Call for Quote",0 Days,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIR878ADP-T1-GE3?qs=b%252BLbInQEgdmahdAghI5Vcg%3D%3D,No price,06/07/2023 09:57:48 AM,Obsolete,MOSFET RECOMMENDED ALT 78-SIR878BDP-T1-RE3
Vishay Semiconductors,SIR876ADP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIR876ADP-T1-GE3,Vishay Semiconductors,SIR876ADP-T1-GE3,14437 In Stock,317 Days,1,$1.70,10,$1.53,100,$1.23,500,$1.01,1000,$0.836,3000,$0.821,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIR876ADP-T1-GE3?qs=biNArH83b7O7jX7A%2FcD1uw%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 100V Vds 20V Vgs PowerPAK SO-8
Vishay Semiconductors,SIR870ADP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIR870ADP-T1-GE3,Vishay Semiconductors,SIR870ADP-T1-GE3,17732 On Order,949 Days,1,$2.13,10,$1.91,100,$1.54,500,$1.34,1000,$1.31,3000,$1.31,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIR870ADP-T1-GE3?qs=mmSTCsvLT3lJKRSNN%252BkeNw%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 100V Vds 20V Vgs PowerPAK SO-8
Vishay Semiconductors,SIR862DP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIR862DP-T1-GE3,Vishay Semiconductors,SIR862DP-T1-GE3,5750 In Stock,467 Days,1,$1.44,10,$1.29,100,$1.01,500,$0.831,1000,$0.658,3000,$0.658,6000,$0.644,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIR862DP-T1-GE3?qs=WX95TUc1y55AuGXIvoc3Sg%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 25V Vds 20V Vgs PowerPAK SO-8
Vishay Semiconductors,SIR846ADP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIR846ADP-T1-GE3,Vishay Semiconductors,SIR846ADP-T1-GE3,11100 On Order,710 Days,1,$2.29,10,$2.06,100,$1.65,500,$1.36,1000,$1.12,3000,$1.10,6000,$1.01,9000,$0.984,Not available,Not available,Not available,Not available,USD,https://www2.mouser.com/ProductDetail/Vishay-Semiconductors/SIR846ADP-T1-GE3?qs=6Vc4Yopya8JFE9y9J%2F6sqg%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 100V Vds 20V Vgs PowerPAK SO-8
Vishay Semiconductors,SIR836DP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIR836DP-T1-GE3,Vishay Semiconductors,SIR836DP-T1-GE3,23 In Stock,737 Days,1,$0.842,10,$0.739,100,$0.567,500,$0.459,1000,$0.402,3000,$0.402,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIR836DP-T1-GE3?qs=WX95TUc1y57qwkF4ik84oQ%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 40V Vds 20V Vgs PowerPAK SO-8
Vishay Semiconductors,SIR826ADP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIR826ADP-T1-GE3,Vishay Semiconductors,SIR826ADP-T1-GE3,5890 On Order,588 Days,1,$2.58,10,$2.31,100,$1.86,500,$1.53,1000,$1.27,3000,$1.18,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIR826ADP-T1-GE3?qs=FTQF2dEqrCCywDt0K2ICSw%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 80V Vds 20V Vgs PowerPAK SO-8
Vishay / Siliconix,SIR820DP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIR820DP-T1-GE3,Vishay / Siliconix,SIR820DP-T1-GE3,None,0 Days,3000,$0.681,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Siliconix/SIR820DP-T1-GE3?qs=cyFmkWaOKMeOQRVTcoNTuA%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 30V Vds 20V Vgs PowerPAK SO-8
Vishay Semiconductors,SIR804DP-T1-GE3,mouser.com,MOSFET,Mouser,781-SIR804DP-T1-GE3,Vishay Semiconductors,SIR804DP-T1-GE3,23451 On Order,727 Days,1,$2.91,10,$2.60,100,$2.10,500,$1.75,1000,$1.44,3000,$1.33,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIR804DP-T1-GE3?qs=WX95TUc1y56JU9XixiRXWg%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 100V Vds 20V Vgs PowerPAK SO-8
Vishay Semiconductors,SIR800ADP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIR800ADP-T1-GE3,Vishay Semiconductors,SIR800ADP-T1-GE3,8379 In Stock,204 Days,1,$1.58,10,$1.43,100,$1.13,500,$0.953,1000,$0.788,3000,$0.734,6000,$0.707,9000,$0.675,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIR800ADP-T1-GE3?qs=byeeYqUIh0O99uCt4iClRw%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 20V Vds 12V Vgs PowerPAK SO-8
Vishay Semiconductors,SIR688DP-T1-GE3,mouser.com,MOSFET,Mouser,78-SIR688DP-T1-GE3,Vishay Semiconductors,SIR688DP-T1-GE3,12000 On Order,756 Days,1,$2.04,10,$1.83,100,$1.47,500,$1.21,1000,$1.00,3000,$0.983,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIR688DP-T1-GE3?qs=p16GO3wfQgyJobtH%252BoOx3Q%3D%3D,Priced,06/07/2023 09:57:48 AM,Not available,MOSFET 60V Vds 20V Vgs PowerPAK SO-8
Vishay / Siliconix,DG2303DL-T1-E3,mouser.com,Analogue Switch ICs,Mouser,781-DG2303DL-E3,Vishay / Siliconix,DG2303DL-T1-E3,"Non-Stocked, Call for Quote",0 Days,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,USD,https://eu.mouser.com/ProductDetail/Vishay-Siliconix/DG2303DL-T1-E3?qs=va1BoN3yXCqizg17Ss7PAw%3D%3D,No price,06/07/2023 09:57:48 AM,Obsolete,Analogue Switch ICs Hi-Speed CMOS SPST
